pos, Run #1
Time ( s )	pos ( m )
0.0201	-8.916E-3
0.0365	-6.336E-3
0.0529	-4.616E-3
0.0693	-2.724E-3
0.0857	-1.692E-3
0.1021	-1.004E-3
0.1185	-1.176E-3
0.1349	-2.208E-3
0.1513	-3.584E-3
0.1677	-5.476E-3
0.1841	-7.712E-3
0.2005	-0.010
0.2168	-0.013
0.2332	-0.017
0.2496	-0.020
0.2660	-0.023
0.2824	-0.026
0.2987	-0.029
0.3151	-0.031
0.3315	-0.033
0.3479	-0.034
0.3643	-0.034
0.3807	-0.034
0.3971	-0.033
0.4135	-0.032
0.4299	-0.030
0.4464	-0.028
0.4628	-0.025
0.4792	-0.022
0.4956	-0.019
0.5120	-0.015
0.5284	-0.012
0.5449	-9.088E-3
0.5613	-6.336E-3
0.5777	-4.444E-3
0.5941	-2.724E-3
0.6105	-1.520E-3
0.6269	-1.004E-3
0.6433	-1.004E-3
0.6597	-1.692E-3
0.6761	-3.412E-3
0.6925	-5.304E-3
0.7089	-7.712E-3
0.7253	-0.010
0.7416	-0.013
0.7580	-0.017
0.7744	-0.020
0.7908	-0.023
0.8072	-0.026
0.8235	-0.029
0.8399	-0.031
0.8563	-0.033
0.8727	-0.034
0.8891	-0.034
0.9055	-0.034
0.9219	-0.033
0.9383	-0.032
0.9547	-0.030
0.9712	-0.027
0.9876	-0.025
1.0040	-0.021
1.0204	-0.018
1.0368	-0.015
1.0532	-0.012
1.0697	-8.916E-3
1.0861	-6.164E-3
1.1025	-3.928E-3
1.1189	-2.552E-3
1.1353	-1.348E-3
1.1517	-8.320E-4
1.1681	-1.004E-3
1.1845	-1.692E-3
1.2009	-3.412E-3
1.2173	-5.304E-3
1.2337	-7.712E-3
1.2501	-0.010
1.2664	-0.013
1.2828	-0.017
1.2992	-0.020
1.3156	-0.023
1.3320	-0.026
1.3483	-0.029
1.3647	-0.031
1.3811	-0.033
1.3975	-0.034
1.4139	-0.034
1.4303	-0.034
1.4467	-0.033
1.4631	-0.032
1.4795	-0.030
1.4960	-0.028
1.5124	-0.025
1.5288	-0.022
1.5452	-0.018
1.5616	-0.015
1.5780	-0.012
1.5945	-9.088E-3
1.6109	-6.336E-3
1.6273	-4.100E-3
1.6437	-2.724E-3
1.6601	-1.520E-3
1.6765	-1.004E-3
1.6929	-1.176E-3
1.7093	-1.864E-3
1.7257	-3.240E-3
1.7421	-5.476E-3
1.7585	-7.884E-3
1.7749	-0.011
1.7912	-0.014
1.8076	-0.017
1.8240	-0.020
1.8404	-0.024
1.8568	-0.026
1.8731	-0.029
1.8895	-0.031
1.9059	-0.033
1.9223	-0.034
1.9387	-0.035
1.9551	-0.034
1.9715	-0.033
1.9879	-0.032
2.0043	-0.030
2.0208	-0.028
2.0372	-0.025
2.0536	-0.021
2.0700	-0.018
2.0864	-0.015
2.1028	-0.012
2.1193	-8.916E-3
2.1357	-6.336E-3
2.1521	-4.100E-3
2.1685	-2.380E-3
2.1849	-1.520E-3
2.2013	-1.004E-3
2.2177	-1.176E-3
2.2341	-1.864E-3
2.2505	-3.240E-3
2.2669	-5.648E-3
2.2833	-8.056E-3
2.2997	-0.011
2.3160	-0.014
2.3324	-0.017
2.3488	-0.021
2.3652	-0.024
2.3816	-0.026
2.3979	-0.029
2.4143	-0.031
2.4307	-0.033
2.4471	-0.034
2.4635	-0.035
2.4799	-0.034
2.4963	-0.033
2.5127	-0.032
2.5291	-0.030
2.5456	-0.028
2.5620	-0.025
2.5784	-0.022
2.5948	-0.018
2.6112	-0.015
2.6276	-0.012
2.6441	-9.088E-3
2.6605	-6.336E-3
2.6769	-4.100E-3
2.6933	-2.380E-3
2.7097	-1.692E-3
2.7261	-1.176E-3
2.7425	-1.348E-3
2.7589	-2.036E-3
2.7753	-3.412E-3
2.7917	-5.648E-3
2.8081	-8.056E-3
2.8245	-0.011
2.8408	-0.014
2.8572	-0.017
2.8736	-0.020
2.8900	-0.024
2.9064	-0.027
2.9227	-0.029
2.9391	-0.031
2.9555	-0.033
2.9719	-0.034
2.9883	-0.035
3.0047	-0.034
3.0211	-0.033
3.0375	-0.032
3.0539	-0.030
3.0704	-0.028
3.0868	-0.025
3.1032	-0.021
3.1196	-0.018
3.1360	-0.015
3.1524	-0.012
3.1689	-8.916E-3
3.1853	-6.336E-3
3.2017	-4.100E-3
3.2181	-2.380E-3
3.2345	-1.692E-3
3.2509	-1.176E-3
3.2673	-1.348E-3
3.2837	-2.208E-3
3.3001	-3.584E-3
3.3165	-5.820E-3
3.3329	-8.228E-3
3.3493	-0.011
3.3656	-0.014
3.3820	-0.017
3.3984	-0.020
3.4148	-0.024
3.4312	-0.027
3.4475	-0.029
3.4639	-0.031
3.4803	-0.033
3.4967	-0.034
3.5131	-0.035
3.5295	-0.034
3.5459	-0.033
3.5623	-0.032
3.5787	-0.030
3.5952	-0.028
3.6116	-0.025
3.6280	-0.021
3.6444	-0.018
3.6608	-0.015
3.6772	-0.012
3.6937	-9.088E-3
3.7101	-6.336E-3
3.7265	-4.100E-3
3.7429	-2.380E-3
3.7593	-1.692E-3
3.7757	-1.348E-3
3.7921	-1.520E-3
3.8085	-2.208E-3
3.8249	-3.584E-3
3.8413	-5.648E-3
3.8577	-8.400E-3
3.8741	-0.011
3.8904	-0.014
3.9068	-0.017
3.9232	-0.020
3.9396	-0.024
3.9560	-0.027
3.9723	-0.029
3.9887	-0.031
4.0051	-0.033
4.0215	-0.034
4.0379	-0.035
4.0543	-0.034
4.0707	-0.033
4.0871	-0.032
4.1035	-0.030
4.1200	-0.027
4.1364	-0.025
4.1528	-0.021
4.1692	-0.018
4.1856	-0.015
4.2020	-0.012
4.2185	-8.916E-3
4.2349	-6.336E-3
4.2513	-4.100E-3
4.2677	-2.380E-3
4.2841	-1.348E-3
4.3005	-1.348E-3
4.3169	-1.520E-3
4.3333	-2.380E-3
4.3497	-3.756E-3
4.3661	-5.648E-3
4.3825	-8.400E-3
4.3989	-0.011
4.4152	-0.014
4.4316	-0.017
4.4480	-0.021
4.4644	-0.024
4.4808	-0.027
4.4971	-0.029
4.5135	-0.031
4.5299	-0.033
4.5463	-0.034
4.5627	-0.035
4.5791	-0.034
4.5955	-0.033
4.6119	-0.032
4.6283	-0.030
4.6448	-0.027
4.6612	-0.025
4.6776	-0.021
4.6940	-0.018
4.7104	-0.015
4.7268	-0.012
4.7433	-9.088E-3
4.7597	-6.508E-3
4.7761	-4.272E-3
4.7925	-2.552E-3
4.8089	-1.520E-3
4.8253	-1.520E-3
4.8417	-1.692E-3
4.8581	-2.552E-3
4.8745	-3.928E-3
4.8909	-5.820E-3
4.9073	-8.572E-3
4.9236	-0.011
4.9400	-0.014
4.9564	-0.018
4.9728	-0.021
4.9892	-0.024
5.0056	-0.027
