pos, Run #4
Time ( s )	pos ( m )
0.0201	-1.692E-3
0.0365	3.296E-3
0.0530	7.596E-3
0.0694	0.012
0.0858	0.015
0.1022	0.017
0.1186	0.018
0.1350	0.017
0.1514	0.016
0.1678	0.013
0.1842	9.660E-3
0.2005	5.360E-3
0.2169	5.440E-4
0.2333	-4.788E-3
0.2497	-0.010
0.2660	-0.016
0.2824	-0.021
0.2988	-0.026
0.3151	-0.029
0.3315	-0.032
0.3479	-0.034
0.3643	-0.035
0.3807	-0.035
0.3971	-0.033
0.4135	-0.030
0.4300	-0.026
0.4464	-0.022
0.4628	-0.017
0.4792	-0.012
0.4957	-6.336E-3
0.5121	-8.320E-4
0.5285	4.328E-3
0.5450	8.972E-3
0.5614	0.012
0.5778	0.015
0.5942	0.017
0.6106	0.018
0.6270	0.017
0.6434	0.016
0.6598	0.013
0.6762	8.972E-3
0.6925	4.672E-3
0.7089	-3.160E-4
0.7253	-5.648E-3
0.7417	-0.011
0.7580	-0.016
0.7744	-0.022
0.7908	-0.026
0.8071	-0.030
0.8235	-0.032
0.8399	-0.034
0.8563	-0.034
0.8727	-0.034
0.8891	-0.032
0.9055	-0.029
0.9220	-0.026
0.9384	-0.021
0.9548	-0.016
0.9713	-0.011
0.9877	-5.304E-3
1.0041	2.800E-5
1.0205	5.188E-3
1.0370	9.488E-3
1.0534	0.013
1.0698	0.016
1.0862	0.017
1.1026	0.017
1.1190	0.017
1.1354	0.015
1.1518	0.012
1.1682	8.112E-3
1.1845	3.296E-3
1.2009	-1.692E-3
1.2173	-7.024E-3
1.2336	-0.013
1.2500	-0.018
1.2664	-0.023
1.2828	-0.027
1.2991	-0.030
1.3155	-0.033
1.3319	-0.034
1.3483	-0.034
1.3647	-0.033
1.3811	-0.032
1.3975	-0.029
1.4140	-0.025
1.4304	-0.020
1.4468	-0.015
1.4633	-9.260E-3
1.4797	-4.100E-3
1.4961	1.232E-3
1.5126	6.048E-3
1.5290	0.010
1.5454	0.014
1.5618	0.016
1.5782	0.018
1.5946	0.017
1.6110	0.016
1.6274	0.014
1.6438	0.011
1.6602	7.424E-3
1.6765	2.952E-3
1.6929	-2.552E-3
1.7093	-7.884E-3
1.7256	-0.013
1.7420	-0.018
1.7584	-0.023
1.7748	-0.027
1.7911	-0.031
1.8075	-0.033
1.8239	-0.034
1.8403	-0.034
1.8567	-0.033
1.8731	-0.031
1.8896	-0.028
1.9060	-0.024
1.9224	-0.019
1.9388	-0.014
1.9553	-8.400E-3
1.9717	-2.896E-3
1.9881	2.264E-3
2.0046	6.392E-3
2.0210	0.011
2.0374	0.014
2.0538	0.016
2.0702	0.017
2.0866	0.017
2.1030	0.015
2.1194	0.013
2.1358	9.832E-3
2.1521	5.876E-3
2.1685	1.232E-3
2.1849	-3.928E-3
2.2013	-9.604E-3
2.2176	-0.015
2.2340	-0.020
2.2504	-0.024
2.2668	-0.028
2.2831	-0.031
2.2995	-0.033
2.3159	-0.034
2.3323	-0.034
2.3487	-0.032
2.3651	-0.030
2.3816	-0.026
2.3980	-0.023
2.4144	-0.018
2.4308	-0.013
2.4473	-7.196E-3
2.4637	-1.864E-3
2.4801	3.124E-3
2.4966	7.768E-3
2.5130	0.011
2.5294	0.014
2.5458	0.016
2.5622	0.017
2.5786	0.017
2.5950	0.016
2.6114	0.013
2.6278	0.010
2.6442	8.628E-3
2.6606	7.940E-3
2.6769	1.404E-3
2.6933	-6.508E-3
2.7096	-0.012
2.7260	-0.017
2.7424	-0.021
2.7588	-0.027
2.7751	-0.030
2.7915	-0.032
2.8079	-0.033
2.8243	-0.033
2.8407	-0.031
2.8571	-0.029
2.8736	-0.025
2.8900	-0.021
2.9064	-0.016
2.9228	-0.012
2.9393	-6.508E-3
2.9557	-1.348E-3
2.9721	3.468E-3
2.9886	7.768E-3
3.0050	0.011
3.0214	0.013
3.0378	0.015
3.0542	0.016
3.0706	0.015
3.0870	0.014
3.1034	0.011
3.1198	7.424E-3
3.1361	3.296E-3
3.1525	-1.348E-3
3.1689	-6.164E-3
3.1853	-0.011
3.2016	-0.016
3.2180	-0.021
3.2344	-0.025
3.2508	-0.029
3.2671	-0.031
3.2835	-0.032
3.2999	-0.033
3.3163	-0.032
3.3327	-0.031
3.3492	-0.028
3.3656	-0.025
3.3820	-0.020
3.3984	-0.016
3.4149	-0.011
3.4313	-5.820E-3
3.4477	-8.320E-4
3.4641	3.812E-3
3.4806	7.940E-3
3.4970	0.014
3.5134	0.019
3.5298	0.017
3.5462	0.017
3.5626	0.017
3.5790	0.016
3.5954	0.014
3.6118	0.011
3.6282	6.564E-3
3.6445	1.748E-3
3.6609	-2.380E-3
3.6773	-7.712E-3
3.6936	-0.012
3.7100	-0.016
3.7264	-0.021
3.7428	-0.025
3.7592	-0.027
3.7756	-0.029
3.7919	-0.029
3.8084	-0.028
3.8248	-0.026
3.8412	-0.026
3.8576	-0.023
3.8740	-0.019
3.8904	-0.014
3.9069	-9.776E-3
3.9233	-5.132E-3
3.9397	-1.004E-3
3.9561	3.296E-3
3.9726	6.908E-3
3.9890	9.832E-3
4.0054	0.012
4.0218	0.013
4.0382	0.018
4.0546	0.014
4.0710	0.012
