Sine Fit, Run #4
Time ( s )	Velocity ( m/s )
0.372	0.0241
0.389	0.0919
0.405	0.156
0.422	0.213
0.438	0.260
0.455	0.296
0.471	0.319
0.487	0.327
0.504	0.321
0.520	0.301
0.537	0.267
0.553	0.222
0.570	0.167
0.586	0.104
0.602	0.0366
0.619	-0.0323
0.635	-0.0997
0.652	-0.163
0.668	-0.218
0.684	-0.265
0.701	-0.299
0.717	-0.320
0.733	-0.327
0.750	-0.320
0.766	-0.298
0.783	-0.264
0.799	-0.217
0.815	-0.161
0.832	-0.0981
0.848	-0.0306
0.865	0.0383
0.881	0.105
0.897	0.168
0.914	0.223
0.930	0.268
0.947	0.302
0.963	0.322
0.979	0.327
0.996	0.318
1.01	0.295
1.03	0.259
1.05	0.211
1.06	0.154
1.08	0.0903
1.09	0.0224
1.11	-0.0464
1.13	-0.113
1.14	-0.175
1.16	-0.229
1.18	-0.273
1.19	-0.305
1.21	-0.323
1.23	-0.327
1.24	-0.316
1.26	-0.292
1.27	-0.255
1.29	-0.206
1.31	-0.149
1.32	-0.0844
1.34	-0.0164
1.36	0.0524
1.37	0.119
1.39	0.180
1.41	0.233
1.42	0.276
1.44	0.307
1.46	0.324
1.47	0.327
1.49	0.315
1.50	0.289
1.52	0.250
1.54	0.200
1.55	0.141
1.57	0.0765
1.59	8.21E-3
1.60	-0.0605
1.62	-0.126
1.64	-0.187
1.65	-0.239
1.67	-0.280
1.68	-0.309
1.70	-0.325
1.72	-0.326
1.73	-0.313
1.75	-0.285
1.77	-0.246
1.78	-0.195
1.80	-0.136
1.82	-0.0706
1.83	-2.16E-3
1.85	0.0664
1.86	0.132
1.88	0.192
1.90	0.243
1.91	0.284
1.93	0.312
1.95	0.326
1.96	0.325
1.98	0.310
2.00	0.282
2.01	0.241
2.03	0.189
2.05	0.128
2.06	0.0626
2.08	-6.03E-3
2.09	-0.0744
2.11	-0.139
2.13	-0.198
2.14	-0.248
2.16	-0.287
2.18	-0.314
2.19	-0.326
2.21	-0.324
2.23	-0.308
2.24	-0.278
2.26	-0.236
2.27	-0.183
2.29	-0.123
2.31	-0.0567
2.32	0.0121
2.34	0.0803
2.36	0.145
2.37	0.203
2.39	0.253
2.41	0.291
2.42	0.316
2.44	0.327
2.46	0.323
2.47	0.306
2.49	0.274
2.50	0.231
2.52	0.177
2.54	0.115
2.55	0.0486
